run_id,dataset,subject,base,n_checkpoints,train_seeds,n_eval_total_per_checkpoint,CC,MSE,RMSE,T_RRMSE,S_RRMSE,SDR,PSD_KLD,PSD_WD,source_file
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B05,4,3,42 43 44,1500,0.7453963491651747,0.2063156018654505,0.4367849032084147,0.6858912838829888,0.5625240868992275,3.497270319196913,0.3213100300894843,3.479645888010661,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B05,6,3,42 43 44,1500,0.7490823931164212,0.2086472908655802,0.4376666181617313,0.6884836157162985,0.5985929568608602,3.5065966977013483,0.295918411678738,3.264511585235596,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B05,8,3,42 43 44,1500,0.7502749959627787,0.2078986863295237,0.4364351133505503,0.686014731725057,0.5859216252962748,3.54081212149726,0.2922145856751336,3.2658390204111734,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B05,16,3,42 43 44,1500,0.7479740116331313,0.2103757510582606,0.4387439853615231,0.6894586284955343,0.5818796356519064,3.499913533528646,0.2919284701347351,3.318837563196818,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B06,2,3,42 43 44,1500,0.7551668882369995,0.1970250523752636,0.4291855461067623,0.6707576248380873,0.6479085882504781,3.610922230614556,0.4618279569678836,4.956489589479235,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B06,4,3,42 43 44,1500,0.7794793314403958,0.1764621833960215,0.4044096999698215,0.6321343315972222,0.5886046224170262,4.1658669577704535,0.3572176396846771,4.300862232844035,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B06,6,3,42 43 44,1500,0.7832611401875814,0.1726906547943751,0.3997828066349029,0.6254243188434178,0.5714361667633057,4.271344025929769,0.3352236880196465,4.052685949537489,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B06,8,3,42 43 44,1500,0.784132613076104,0.1725658675034841,0.3990518814987606,0.6236250201861063,0.565500537554423,4.301314883761936,0.3337403403388129,4.104195170932346,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B06,16,3,42 43 44,1500,0.7813814481099447,0.1733080744743347,0.3997759057415856,0.6246435112423367,0.5639666716257731,4.2881209055582685,0.3423336247603099,4.2089784145355225,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
a7_bci_zero_shot_all_subjects_20260815_000000,BCI_IV2b,B07,2,3,42 43 44,1500,0.6498958667119344,0.2632596691449483,0.4993342955907185,0.7812041507826911,0.7409392727745904,2.2591946257485285,1.0675773885515,15.027853700849745,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv
