task,task_label,base,base_label,seed,epoch,train_loss,val_SDR,budget,lr,source_file,aggregation
emg,EMG,4,base4,43,15,0.0640485529743489,6.819992842497649,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,16,0.0639648878148623,6.8364512125651045,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,17,0.0638710832844177,6.832345185456453,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,18,0.0637938880317268,6.829796720434119,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,19,0.0637415652828557,6.8430735623395,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,20,0.0636427947985274,6.878371115084048,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,21,0.0635837704652831,6.8858200179206,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,22,0.0635294567438818,6.87333850507383,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,23,0.0634827304631471,6.885817739698622,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,24,0.0634513496110836,6.895501878526476,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,25,0.0634139795565889,6.923361425046568,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,26,0.0633784319141081,6.893853788022642,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,27,0.0633531880875428,6.916927125718859,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,28,0.0633176337927579,6.929184330834283,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,29,0.0632406237579527,6.935393298113787,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,30,0.0632209351374989,6.938983422738534,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,31,0.0632159480204184,6.923334845790157,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,32,0.0631974317488216,6.948339850814254,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,33,0.0631595086483728,6.952783672897904,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,34,0.0631135801119463,6.952905495961507,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,35,0.0631002973410345,6.935036606258816,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,36,0.0630845628146614,6.947352585969148,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,37,0.063099345671279,6.954493716911033,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,38,0.0630508355086758,6.953754018854212,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,39,0.0630406378280548,6.961816134276213,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,40,0.0630047713894219,6.972854367008916,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,41,0.0630006682482503,6.953309023821795,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,42,0.0629905161935658,6.968933882536711,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,43,0.0629615433868907,6.966000486303259,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,44,0.0629549357685304,6.977778470074689,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,45,0.0629690456603254,6.972046322292751,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,46,0.0629369615089325,6.975527145244457,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,47,0.0629052769570123,6.976778666178386,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,48,0.0628679652831384,6.977268660510028,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,49,0.0628559955351409,6.984559147446244,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,50,0.0628868691800605,6.976179988295944,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,51,0.0628494291610661,6.980835755666097,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,52,0.0628553943797236,6.988373615123607,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,53,0.062865520800863,6.963993355079934,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,54,0.0628354563776935,6.989120218488905,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,55,0.0628357410076118,6.990196122063531,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,56,0.0628273906452315,6.987898544028953,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,57,0.0628005784537111,6.990695441210711,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,58,0.0628042206345569,6.994908491770427,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,59,0.0628066160494373,6.993397853992604,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,60,0.0628209489974237,6.994116871445267,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,61,0.0627924237755083,6.992749885276512,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,62,0.0627787241978304,6.996710229803015,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,63,0.0627641530796176,6.997945114418313,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,64,0.0627867161163261,6.996826189535636,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,65,0.0627689600168239,6.996419111887614,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,66,0.0627684426981778,6.994098998882152,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,67,0.06277526826376,6.99784896991871,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,68,0.0627589189580508,6.998048128905119,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,69,0.0627422197943642,6.998541884952122,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,70,0.0627642374485731,6.999543225323713,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,71,0.062745022454432,6.998494307200114,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,72,0.0627889328769275,6.998882311361808,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,73,0.0627608238586357,6.999270333184136,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,74,0.0627761205924408,6.995104454181813,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,4,base4,43,75,0.0627421472931192,6.998963709230776,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,6,base6,42,1,0.1341663744123209,2.784103693785491,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,6,base6,42,2,0.0754352842768033,6.117980462533456,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,6,base6,42,3,0.0672798285526888,6.464368096104375,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,6,base6,42,4,0.0656768663298516,6.6058164879127785,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
emg,EMG,6,base6,42,5,0.0649121782254605,6.649806888015182,extended,0.001,results\manuscript_figure_data\supp_s1_seed_histories.csv,individual matched extended-training seed trajectory (no aggregation)
