run_id,recipe,recipe_label,classifier,classifier_label,base,subject,delta_accuracy,baseline_accuracy_mean,processed_accuracy_mean,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,primary_independent_unit,source_file
hierarchical_downstream_stats_20260815_000000,eog,EOG,eegnet,EEGNet,16,A09,-0.0079966329966329,0.4175084175084175,0.4095117845117845,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A01,-0.0159483326743113,0.5935152234084619,0.5775668907341505,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A02,-0.0694935217903415,0.3643502159403219,0.2948566941499804,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A03,-0.0377153710487043,0.6695156695156695,0.6318002984669652,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A04,0.0017868745938921,0.4283625730994152,0.4301494476933073,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A05,-0.0402576489533011,0.2979066022544283,0.2576489533011272,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A06,-0.0198105081826012,0.3720930232558139,0.3522825150732127,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A07,-0.0553549939831528,0.5098275170477337,0.4544725230645808,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A08,-0.002186688533552,0.6301763017630176,0.6279896132294657,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog,EOG,shallowfbcsp,ShallowFBCSPNet,16,A09,-0.0007014590347923,0.6527777777777778,0.6520763187429854,3,3,3,27,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A01,-0.1916014234875445,0.8092526690391459,0.6176512455516014,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A02,-0.2192226148409894,0.5392226148409894,0.32,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A03,-0.0962637362637362,0.7494505494505495,0.6531868131868132,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A04,-0.1942105263157894,0.6052631578947368,0.4110526315789474,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A05,0.0114492753623188,0.2739130434782609,0.2853623188405797,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
hierarchical_downstream_stats_20260815_000000,eog_emg_line,EOG+EMG+LINE,csp_lda,CSP+LDA,16,A06,-0.0465116279069767,0.4613953488372093,0.4148837209302325,5,5,0,25,subject,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv
