row_type,panel,recipe,classifier,classifier_label,base,subject,delta_accuracy,mean_delta_accuracy,bootstrap_ci95_low,bootstrap_ci95_high,n_subjects_for_inference,primary_independent_unit,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seeds,n_technical_observations_aggregated,source_file,aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A06,0.0127476313522825,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A07,0.0730044123545928,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A08,0.014350143501435,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EOG,eog,deep4net,Deep4Net,16,A09,0.0126262626262626,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EOG,eog,deep4net,Deep4Net,16,,,0.0163054322351452,-0.00376100068495,0.0390332809487498,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
subject,EMG,emg,csp_lda,CSP+LDA,16,A01,-0.2031316725978647,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A02,-0.2118727915194346,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A03,-0.0728205128205128,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A04,-0.1721052631578947,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A05,-0.0065217391304347,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A06,-0.0805581395348837,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A07,-0.0586281588447653,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A08,-0.0949077490774907,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,csp_lda,CSP+LDA,16,A09,-0.015,,,,9,subject,5.0,5.0,0.0,25.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EMG,emg,csp_lda,CSP+LDA,16,,,-0.1017273362981424,-0.1516322549465887,-0.0564949251454449,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A01,-0.0972716488730723,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A02,-0.1404266457269991,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A03,-0.0662053995387328,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A04,-0.0698505523066926,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A05,-0.0148953301127214,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A06,-0.0304909560723514,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A07,-0.080224628961091,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A08,-0.019543528768621,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,A09,-0.012766554433221,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EMG,emg,shallowfbcsp,ShallowFBCSPNet,16,,,-0.0590750271992781,-0.0871911288940248,-0.0338797198875759,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
subject,EMG,emg,eegconformer,EEGConformer,16,A01,-0.1202056148675365,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A02,-0.0819264494176155,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A03,-0.0780084113417446,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A04,-0.0477582846003898,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A05,-0.0017444981213097,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A06,-0.0551248923341946,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A07,-0.0672549806123813,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A08,-0.053437201038677,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegconformer,EEGConformer,16,A09,-0.0074354657687991,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EMG,emg,eegconformer,EEGConformer,16,,,-0.0569884220114053,-0.0794611319811481,-0.0344383122120397,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
subject,EMG,emg,eegnet,EEGNet,16,A01,0.0317648609463556,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A02,-0.0172752257557911,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A03,-0.0522317188983855,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A04,-0.0597790773229369,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A05,-0.0085882984433709,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A06,0.0287683031869078,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A07,0.0171145875116994,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A08,-0.04236709033757,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,eegnet,EEGNet,16,A09,-0.0043490460157126,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
mean_ci,EMG,emg,eegnet,EEGNet,16,,,-0.0118825227920893,-0.0328623825834635,0.008944564723336,9,subject,,,,,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_confirmatory_effects.csv,Mean and 95% subject-bootstrap CI across n=9 subjects
subject,EMG,emg,deep4net,Deep4Net,16,A01,-0.0469223672070647,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,deep4net,Deep4Net,16,A02,-0.0068053919644025,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
subject,EMG,emg,deep4net,Deep4Net,16,A03,0.0058336725003391,,,,9,subject,3.0,3.0,3.0,27.0,runs/hierarchical_downstream_stats_20260815_000000/hierarchical_subject_deltas.csv,Subject-level delta after contamination/checkpoint/classifier-seed nuisance aggregation
