classifier,recipe,subject,base,oriented_sdr,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_checkpoint_seeds,n_classifier_seed_values,classifier_label,recipe_label,source_file
csp_lda,eog,A09,4,0.08041282057762145,-0.007121212121212136,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A09,6,0.02221278401091693,-0.00803030303030304,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A09,8,-0.06255966755561528,-0.01606060606060607,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
csp_lda,eog,A09,16,0.09009434795007108,-0.02757575757575757,25,5,5,0,CSP+LDA,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A01,6,2.403104199303521,-0.010544352181362853,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A01,16,2.4111333423190646,-0.014630288651640955,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A02,6,1.3251168992784288,-0.013479911006412734,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A02,16,1.3253135283788045,-0.0014396021463159334,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A03,6,1.99806895520952,0.014516347849681156,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A03,16,1.997923149002923,0.01817935151268481,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A04,6,1.3497590356402926,0.006985055230669212,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A04,16,1.363770776324802,0.013320337881741355,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A05,6,0.43438951174418133,-0.035426731078904955,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A05,16,0.46021479699346757,-0.0356951154052603,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A06,6,0.49813590778244865,0.009130060292850954,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A06,16,0.4476497769355774,0.0022394487510766434,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A07,6,0.7104059921370612,0.10629763337344561,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A07,16,0.7182144456439548,0.10054820163123407,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A08,6,2.1778477827707925,0.017766844335110013,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A08,16,2.2220812373691134,-0.00505671723383901,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A09,6,0.07288085633060994,-0.018658810325476956,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
eegnet,eog,A09,16,0.10759370463589825,-0.00799663299663299,9,3,3,3,EEGNet,EOG,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A01,6,1.9807844559351604,-0.09568999604586786,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A01,16,2.1691326565212674,-0.09568999604586786,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A02,6,1.2866875992880926,-0.11883261353226013,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A02,16,1.3316885497834947,-0.11857086768747542,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A03,6,2.257247739368015,-0.03839370506037166,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A03,16,2.2874714533487954,-0.06199972866639528,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A04,6,2.850140412648519,-0.07504873294346975,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A04,16,3.011772526635064,-0.07829759584145544,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A05,6,0.2956037190225389,-0.011674718196457299,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A05,16,0.33828542961014635,-0.007783145464304867,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A06,6,3.4729661411709256,-0.013608957795004277,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A06,16,3.6689394579993353,-0.00568475452196381,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A07,6,3.3584662278493247,-0.13036502206177294,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A07,16,3.5167903900146484,-0.11619200427864687,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A08,6,2.852662139468723,-0.013530135301352966,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A08,16,2.8389863438076444,-0.017766844335109985,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
shallowfbcsp,eog_emg_line,A09,6,4.647971736060248,0.0005611672278339179,9,3,3,3,ShallowFBCSPNet,EOG+EMG+LINE,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv
