dataset_panel,artifact,width,base,seed,parameters,CC,source_file,run_dir
EEGDenoiseNet EOG,eog,base6,6,44,6532,0.8988013863563538,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base6_seed44
EEGDenoiseNet EOG,eog,base6,6,45,6532,0.905343532562256,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base6_seed45
EEGDenoiseNet EOG,eog,base6,6,46,6532,0.904827356338501,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base6_seed46
EEGDenoiseNet EOG,eog,base8,8,42,10990,0.9072588086128236,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base8_seed42
EEGDenoiseNet EOG,eog,base8,8,43,10990,0.9088496565818788,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base8_seed43
EEGDenoiseNet EOG,eog,base8,8,44,10990,0.9072689414024352,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base8_seed44
EEGDenoiseNet EOG,eog,base8,8,45,10990,0.9055678248405457,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base8_seed45
EEGDenoiseNet EOG,eog,base8,8,46,10990,0.9085266590118408,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base8_seed46
EEGDenoiseNet EOG,eog,base10,10,42,16592,0.909604549407959,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base10_seed42
EEGDenoiseNet EOG,eog,base10,10,43,16592,0.9119075536727904,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base10_seed43
EEGDenoiseNet EOG,eog,base10,10,44,16592,0.9095213413238524,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base10_seed44
EEGDenoiseNet EOG,eog,base12,12,42,23338,0.9130300879478456,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base12_seed42
EEGDenoiseNet EOG,eog,base12,12,43,23338,0.9110275506973268,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base12_seed43
EEGDenoiseNet EOG,eog,base12,12,44,23338,0.9119004011154176,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base12_seed44
EEGDenoiseNet EOG,eog,base16,16,42,40262,0.9148211479187012,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base16_seed42
EEGDenoiseNet EOG,eog,base16,16,43,40262,0.91508287191391,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base16_seed43
EEGDenoiseNet EOG,eog,base16,16,44,40262,0.9137660264968872,runs/attention_width_sweep_20260520_212826_summary_index.csv,runs/attention_width_sweep_20260520_212826_eog_base16_seed44
EEGDenoiseNet EOG,eog,base16,16,45,40262,0.9151591062545776,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base16_seed45
EEGDenoiseNet EOG,eog,base16,16,46,40262,0.9149618148803712,runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_summary_index.csv,<PROJECT_ROOT>/runs/jne_revision_high_leverage_20260601_150050_width_saturation_extra_seeds_eog_base16_seed46
Mixed-1M,mixed,base2,2,42,1048,0.6814188957214355,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base2_seed42
Mixed-1M,mixed,base2,2,43,1048,0.7077566385269165,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base2_seed43
Mixed-1M,mixed,base2,2,44,1048,0.7033253312110901,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base2_seed44
Mixed-1M,mixed,base4,4,42,3218,0.7269265055656433,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base4_seed42
Mixed-1M,mixed,base4,4,43,3218,0.727415919303894,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base4_seed43
Mixed-1M,mixed,base4,4,44,3218,0.7280877828598022,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base4_seed44
Mixed-1M,mixed,base6,6,42,6532,0.7339723706245422,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base6_seed42
Mixed-1M,mixed,base6,6,43,6532,0.7346168756484985,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base6_seed43
Mixed-1M,mixed,base6,6,44,6532,0.737286388874054,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base6_seed44
Mixed-1M,mixed,base8,8,42,10990,0.7414870858192444,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base8_seed42
Mixed-1M,mixed,base8,8,43,10990,0.7410934567451477,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base8_seed43
Mixed-1M,mixed,base8,8,44,10990,0.7404900789260864,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base8_seed44
Mixed-1M,mixed,base16,16,42,40262,0.7490525245666504,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base16_seed42
Mixed-1M,mixed,base16,16,43,40262,0.7498526573181152,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base16_seed43
Mixed-1M,mixed,base16,16,44,40262,0.7490725517272949,runs/mixed1m_pareto_multiseed_20260521_141627_summary_index.csv,runs/mixed1m_pareto_multiseed_20260521_141627_mixed_base16_seed44
