panel,panel_title,row_type,condition,base,width_label,parameters,seed,subject,cc,mean_cc,sd_cc,ci95_low,ci95_high,source_file,aggregation
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A01,0.7366874085532295,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A01,0.742039269871182,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A01,0.741284085644616,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A02,0.6626495454046462,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A02,0.690681517124176,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,6,b6,6532,,A02,0.6938196221987407,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,8,b8,10990,,A02,0.6844287912050883,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,16,b16,40262,,A02,0.672268807888031,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,2,b2,1048,,A03,0.6804080075687833,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
C,BCI IV-2a zero-shot,subject_observation,BCI_IV2a,4,b4,3218,,A03,0.6976540949609544,,,,,runs/a7_bci_zero_shot_all_subjects_20260815_000000/a7_subject_width_rows.csv,subject-level mean after checkpoint/channel aggregation in A7
