classifier,recipe,subject,base,sdr_db,delta_accuracy,n_condition_rows,n_contamination_seed_pairs,n_train_contamination_seeds,n_test_contamination_seeds,n_checkpoint_seeds,n_classifier_seed_values,subject_mean_sdr_db,subject_mean_delta_accuracy,centered_sdr_db,centered_delta_accuracy,source_file,aggregation
csp_lda,emg,A08,6,2.842927532196045,-0.07955719557195567,25,5,5,5,5,0,2.8072017822265627,-0.08563837638376379,0.0357257499694823,0.006081180811808112,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A08,8,2.8182666301727295,-0.09003690036900366,25,5,5,5,5,0,2.8072017822265627,-0.08563837638376379,0.0110648479461668,-0.004398523985239877,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A08,16,2.8011140251159667,-0.09490774907749074,25,5,5,5,5,0,2.8072017822265627,-0.08563837638376379,-0.006087757110595948,-0.009269372693726949,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A09,2,4.100537109375,-0.06439393939393939,25,5,5,5,5,0,4.603681632995605,-0.041363636363636366,-0.5031445236206054,-0.023030303030303026,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A09,4,4.690596218109131,-0.061363636363636356,25,5,5,5,5,0,4.603681632995605,-0.041363636363636366,0.08691458511352579,-0.01999999999999999,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A09,6,4.773259315490723,-0.023333333333333338,25,5,5,5,5,0,4.603681632995605,-0.041363636363636366,0.16957768249511762,0.01803030303030303,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A09,8,4.744386692047119,-0.04272727272727273,25,5,5,5,5,0,4.603681632995605,-0.041363636363636366,0.14070505905151354,-0.0013636363636363655,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,emg,A09,16,4.7096288299560545,-0.015,25,5,5,5,5,0,4.603681632995605,-0.041363636363636366,0.1059471969604493,0.026363636363636367,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A01,2,1.8954608726501465,-0.1665480427046263,25,5,5,5,5,0,2.3308446350097656,-0.12025622775800708,-0.43538376235961906,-0.04629181494661923,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
csp_lda,eog,A01,4,2.3055466842651366,-0.14007117437722413,25,5,5,5,5,0,2.3308446350097656,-0.12025622775800708,-0.025297950744628928,-0.019814946619217053,runs/a4_same_bci_metric_utility_all_neural_artifacts_20260814_215900/a4_metric_utility_joined_long_rows.csv,"Display aggregation: SDR and downstream delta averaged to subject x width, then centered within subject"
