task,task_label,metric,metric_label,base,base_label,epoch,mean,se,sd,n,seeds,budget,lr,source_file,aggregation
emg,EMG,train_loss,Training loss,6,base6,21,0.0628556629465449,3.467213717244649e-05,4.9033806625734166e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,22,0.0628452668853458,6.5690908758409e-05,9.290097409075552e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,23,0.0627627216102111,2.83128448895012e-05,4.004040923209837e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,24,0.0627310605630988,1.828780486470144e-05,2.586286166569344e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,25,0.0627063373724619,4.771216994239879e-05,6.747519782279031e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,26,0.0626626350783876,2.253237402154856e-05,3.1865588933737173e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,27,0.0626168835730779,7.36319593021284e-06,1.0413131546917377e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,28,0.0625791493182381,3.1017210511963263e-06,4.386495977299978e-06,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,29,0.062528328278235,3.5968387410711955e-06,5.086698129291854e-06,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
emg,EMG,train_loss,Training loss,6,base6,30,0.0624946638675672,2.3062607007368757e-05,3.261545161350167e-05,2,42 43,extended,0.001,runs/a6_optimization_convergence_audit_20260815_000000/a6_seed_mean_curves.csv,training-seed mean +/- standard error from matched extended-budget runs
